English,Russian,Level,Topic,POS,Example,Example_ru,Freq,Test_Example,Test_Example_ru
cat,"кошка, кот",A1,animals,noun,I have a pet cat.,У меня есть домашний кот.,21975.0,Your cat shows affection to you,"На самом деле, ваш кот так проявляет свое расположение к вам."
puppy,"щенок, щеночек",A1,animals,noun,I want a puppy.,Я хочу щенка.,21905.0,A puppy came up to play,"Например, ко мне щенок пришёл, чтобы поиграть."
kitten,"котенок, котик",A1,animals,noun,I adopted a cute kitten.,Я усыновил милого котенка.,21890.0,It kitten sneaks in the apartment before the attack on camera,"На нем котенок крадется по квартире перед тем, как напасть на камеру."
donkey,"осел, ослица, ослик",A1,animals,noun,ride a donkey,ездить на осле,21889.0,Our job requires a sturdy donkey that can move well,"Нам нужен крепкий осел для работы, который хорошо ходит."
kitty,"Китти, котенок, кошечка",A1,animals,noun,I have a cute kitty.,У меня есть милый котенок.,21886.0,I have a cute kitty.,У меня есть милый котенок.
pig,"свинья, свиноводство, поросенок",A1,animals,noun,I saw a pig on the farm.,Я увидел свинью на ферме.,21882.0,I hope the pig makes it,"Я подумал, что свинья будет самое то."
heart,сердце,A1,body,noun,I have a strong heart.,У меня сильное сердце.,22401.0,"The electrical current will start the heart, and the heart... your heart will beat","Электрический ток запустит сердце, и сердце... ваше сердце забьётся."
head,"голова, главный, руководить",A1,body,noun,headache,головная боль,22361.0,They had 12 head to head,У обоих на счету было 12 голов.
teeth,зубы,A1,body,noun,brush your teeth,чистить зубы,22116.0,This happens naturally since permanent teeth are larger than milk teeth,"Это объясняется тем, что постоянные зубы имеют большие размеры, по сравнению с молочными зубами."
foot,"нога, подножие, стопа",A1,body,noun,I hurt my foot.,Я повредил ногу.,22029.0,I hurt my foot.,Я повредил ногу.
neck,шея,A1,body,noun,She wore a necklace.,Она носила ожерелье.,22028.0,"Tractor supports under neck, reduces tension of neck muscles","Трактор поддерживает под шею, уменьшает напряжение мышц шеи."
arm,рука,A1,body,noun,She broke her arm.,Она сломала руку.,22027.0,I think my arm is broken,"Помогите, кажется, у меня рука сломана."
ear,"ухо, ушко",A1,body,noun,clean your ears,очистить уши,21992.0,Her left ear was also lost along with most of her right ear,Ее левое ухо также было потеряно вместе с большей частью правого уха.
mouth,"рот, уста, пасть",A1,body,noun,open your mouth,открой рот,21988.0,The stories about him passed from mouth to mouth and change over time,Истории о нем передавались из уст в уста и менялись с течением времени.
stomach,"желудок, живот",A1,body,noun,I have a stomachache.,У меня болит живот.,21976.0,My stomach scars are my battle wounds,Мои шрамы на животе - это мои боевые раны.
shoulder,плечо,A1,body,noun,She shrugged her shoulders.,Она пожала плечами.,21968.0,My left shoulder was higher than my right shoulder,Сегодня мое левое плечо больше моего правого плеча.
leg,"нога, ножка, лапа",A1,body,noun,broken leg,перелом ноги,21946.0,This isn't about making your leg better,"Ты это делаешь не для того, чтобы твоя нога восстановилась."
tooth,зуб,A1,body,noun,brush your teeth,чистить зубы,21946.0,"A new artificial tooth feels, functions and looks like a natural healthy tooth","Новый искусственный зуб ощущается, функционирует и выглядит практически как естественный здоровый зуб."
knee,"колено, коленный сустав, коленка",A1,body,noun,My knee hurts.,Моя колено болит.,21923.0,I didnt buckle me knee or anything,Я боюсь за растяжения связок на колено или что-то.
finger,"палец, перст, пальчик",A1,body,noun,She pointed with her finger.,Она указала пальцем.,21923.0,"He inserts his finger, first one then two","Я стал вводить в него свой пальчик - сначала один, потом два."
toe,"палец ноги, палец на ноге",A1,body,noun,stub your toe,ударить пальцем ноги,21918.0,Then came 'the toe toe tuck',Дальше пошло «по накатанной».
lip,"губа, губка",A1,body,noun,apply lip balm,нанести бальзам на губы,21909.0,The small upper part and large lip of the flower resembles a dancing lady,Маленькая верхняя часть и большая губа цветка напоминают танцующую даму.
chest,грудь,A1,body,noun,He has a strong chest.,У него сильная грудь.,21907.0,Called it a sucking chest wound,"Сказал, у него проникающее ранение грудной клетки."
thumb,"большой палец, большой палец руки",A1,body,noun,opposable thumb,сжимающийся большой палец,21902.0,LG: Six - six with the thumb,Ленард Грин: Шесть- шестая с помощью большого пальца.
chin,подбородок,A1,body,noun,He touched his chin.,Он коснулся своего подбородка.,21898.0,I just scratched my chin and my eyelid closed,Только что я почесал себе подбородок и у меня закрылись веки.
wear,"одежда, носить, быть одетым",A1,clothing,verb,wear a hat,носить шляпу,22187.0,I would honestly wear everything in the collection,"Я искренне считаю, что могла бы носить все вещи из этой коллекции»."
dress,"платье, одеваться",A1,clothing,noun,She wore a beautiful dress.,Она носила красивое платье.,22023.0,The cocktail dress can be called a democratic version of the evening dress,Коктейльное платье стало демократичной версией вечернего платья.
T-shirt,футболка,A1,clothing,noun,I bought a new T-shirt.,Я купил новую футболку.,22022.0,This t shirt will look good on you,Такая футболка будет отлично смотреться на вас.
shirt,"рубашка, сорочка, рубаха",A1,clothing,noun,I bought a new shirt.,Я купил новую рубашку.,21947.0,I think my shirt has style,"А я наоборот считаю, что моя рубашка стильная."
hat,"шляпа, головной убор",A1,clothing,noun,I wear a hat.,Я ношу шапку.,21945.0,"Earl, this hat sucks now","Эрл, теперь эта шляпа никуда не годится."
coat,"пальто, куртка, пиджак",A1,clothing,noun,I wear a coat in winter.,Я ношу пальто зимой.,21943.0,My coat is missing three buttons,У меня на пальто не хватает трёх пуговиц.
jacket,"куртка, жакет, пиджак",A1,clothing,noun,I need a new jacket.,Мне нужна новая куртка.,21928.0,I never wear a dinner jacket,"Это же семья, я никогда не надеваю пиджак к обеду."
boot,"ботинок, сапог",A1,clothing,noun,Put on your boots.,Наденьте свои ботинки.,21916.0,Or put them in the boot,Или же ввели их не на той раскладке.
skirt,"юбка, подол, юбочка",A1,clothing,noun,She wore a red skirt.,Она носила красную юбку.,21906.0,Woemn skirt from thick viscose fabrics,Женская юбка с кантами из плотной вискозной ткани.
shorts,"шорты, шортики",A1,clothing,noun,I wear shorts in summer.,Я ношу шорты летом.,21902.0,Men cannot wear shorts in public places,Мужчины у нас не носят шорты в общественных местах.
sock,"носок, чулок, носочек",A1,clothing,noun,I need new socks.,Мне нужны новые носки.,21889.0,I would not want a sock that was overall cotton,"«Я бы не хотел, чтобы носок был общим хлопком."
underwear,"нижнее белье, белье, термобелье",A1,clothing,noun,I need new underwear.,Мне нужны новые нижнее белье.,21886.0,Ricky says I gave him flag underwear,"Рикки говорит, что я дала ему нижнее белье с флагом."
pants,"штаны, брюки",A1,clothing,noun,I need new pants.,Мне нужны новые штаны.,21884.0,I suppose my pants could be,"Я полагаю, мои штаны могли бы быть."
talk,"говорить, беседовать",A1,communication,verb,Let's talk about it.,Давайте поговорим об этом.,22410.0,We can talk and talk and talk,"Мы можем говорить, говорить и говорить."
speak,"говорить, убеждать",A1,communication,verb,speak English,говорить по-английски,22207.0,"If you can speak, then speak",Но если можете говорить - говорите.
be ... years old,быть ... лет,A1,description,phrase,I am 25 years old.,Мне 25 лет.,42574.0,I am 25 years old.,Мне 25 лет.
good,"хороший, добрый, добро, польза",A1,description,adjective,a good book,хорошая книга,24093.0,And good choices make a good life,"Те, кто делает хороший выбор, выбирает хорошую жизнь ."
see,"видеть, увидеть, посмотреть",A1,description,verb,I see a cat.,Я вижу кошку.,23836.0,I see a cat.,Я вижу кошку.
back,"вернуться, поддержать, отступать",A1,description,noun,at the back,сзади,23381.0,at the back,сзади
look,"смотреть, выглядеть, взгляд, внешность",A1,description,verb,look at me,посмотри на меня,23359.0,This film will look and feel different,"Не исключено, что для вас этот фильм будет выглядеть и чувствоваться иначе."
small,"маленький, тонкий, скромный",A1,description,adjective,a small dog,маленькая собака,23285.0,Most are too small to feel,"Однако большинство из них были слишком малы для человека, чтобы чувствовать."
long,"длинный, долгий, долго",A1,description,adjective,a long road,длинная дорога,23266.0,"In fact, just a little of them can go a long, long way","На самом деле, только немногие из них могут пройти долгий путь."
little,"мало, маленький",A1,description,adjective,little time,мало времени,23205.0,Avoid products we know little about,"Во-первых, мы остерегаемся покупать продукты, о которых мало что знаем."
"pale blue/green/yellow, etc.",бледно-голубой/зеленый/желтый и т. д.,A1,description,adjective,a pale blue sky,бледно-голубое небо,22963.0,a pale blue sky,бледно-голубое небо
old,старый,A1,description,adjective,old book,старая книга,22730.0,"Poor old, old, old Dad","Бедный старый, старый, старый Папа."
face,лицо,A1,description,noun,happy face,счастливое лицо,22623.0,An open face turned upwards is a true Sunday face,"Открытое, поднятое лицо - это истинное воскресное лицо."
big,большой,A1,description,adjective,a big house,большой дом,22500.0,This film requires a big big big screen,А этому фильму нужен большой экран.
